Designator,Footprint,Quantity,Value,LCSC Part #
"C401, C403, C501, C506, C507, C508, C509, C512, C601, C602, C604, C610, C613, C614, C616, C701, C702, C707",0603,18,100n,C1608X7R1C104KT
"C402, C505, C611, C612",0603,4,10u,C1608X7R0J106KT
"C404, C405, C511, C603, C615",0603,5,1u,C1608X5R0J105KT
"C502, C503",0603,2,27p,C1608COG1H270JT 
C504,0603,1,4.7u,C1608X5R0J475MT
"C510, C705",0603,2,10n,C1608X7R1H103KT
"C605, C607, C608, C609",0603,4,390n,C1608X5R1A394KT
C606,0603,1,180n,C1608X5R1A184KT
C703,0603,1,15n,C1608X7R1H153KT
C704,0603,1,18n,C1608X7R1C183KT
C706,0603,1,68n,C1608X7R1C683KT
D401,D_SOD-323_HandSoldering,1,D3Z10BF-7,D3Z10BF-7
D501,0805,1,LED,LTST-C170KGKT
D502,0805,1,LED,LTST-C170KRKT
"D601, D602, D603, D604, D605, D606",D_SOD-323_HandSoldering,6,1N4148WS,1N4148WS
"F401, F501",1812,2,MF-MSMF030-2,Bourns Inc.
FB501,0603,1,MH1608-601Y,MH1608-601Y
J401,BarrelJack_Kycon_KLDX-0202-xC_Horizontal,1,KLDX-0202-B,KLDX-0202-B
J402,TerminalBlock_Phoenix_MKDS-1-2-3.81_1x02_P3.81mm_Horizontal,1,EBWA-02-B,EBWA-02-B
J501,PinHeader_2x07_P1.27mm_Vertical_SMD,1,Conn_ST_STDC14,
J502,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB4105-GF-A,USB4105-GF-A
"J601, J602, J603",BNC_TEConnectivity_1478204_Vertical,3,1-1337535-0,1-1337535-0
J701,PinHeader_1x02_P2.54mm_Vertical,1,PH1-02-UA,
Q401,DPAK_MCC,1,MCU18P10Y-TP,MCU18P10Y-TP
"R401, R402",0603,2,100k,
"R501, R502, R601, R602, R603, R604",0603,6,1k,
"R503, R504, R505, R506",0603,4,22.1,
R507,0603,1,0,
"R508, R611, R613, R614, R624, R706, R707, R708",0603,8,10k,
"R509, R510, R605, R608",0603,4,5.11k,
"R606, R609",0603,2,27.4k,
R607,0603,1,11k,
"R610, R617, R705",0603,3,20k,
R612,0603,1,5.62k,
"R615, R619, R620, R709",0603,4,100,
R616,0603,1,18.2k,
R618,0603,1,249k,
"R621, R622",0603,2,2.2M,
R623,0603,1,39.2k,
"R701, R702",0603,2,12.1k,
"R703, R704",0603,2,7.5k,
SW501,SW_SPST_PTS526xxxSMTR,1,PTS526SK15SMTR2 LFS,PTS526SK15SMTR2 LFS
U401,SOT-23-5,1,TPS7A2030PDBVR,TPS7A2030PDBVR
U501,LQFP-32_7x7mm_P0.8mm,1,STM32G441KBT6,STM32G441KBT6
U502,SOT-23-6,1,USBLC6-2SC6,USBLC6-2SC6
"U601, U602, U604, U605",SOIC-8_3.9x4.9mm_P1.27mm,4,TSV912AIDR,TSV912AIDR
"U603, U701, U702",SOIC-8_3.9x4.9mm_P1.27mm,3,LM358LVIDR,LM358LVIDR
Y501,Crystal_HC49-4H_Vertical,1,ATS08A-E,ATS08A-E
