Designator,Mid X,Mid Y,Rotation,Layer
C401,80.775,27.5,180.0,top
C402,75.5,57.5,90.0,top
C403,77.0,57.5,90.0,top
C404,83.5,23.475,90.0,top
C405,76.5,25.000001,270.0,top
C501,33.655,3.315,270.0,top
C502,68.340001,22.86,0.0,top
C503,65.011,22.86,0.0,top
C504,73.111992,3.896992,45.0,top
C505,86.36,27.305,180.0,top
C506,70.571992,6.436992,45.0,top
C507,62.316992,21.503008,315.0,top
C508,86.36,24.13,180.0,top
C509,71.841992,5.166992,45.0,top
C510,66.588008,7.071992,135.0,top
C511,65.318008,5.801992,135.0,top
C512,85.0,18.275,270.0,top
C601,31.75,19.825,90.0,top
C602,46.355,19.825,90.0,top
C603,22.225,45.72,270.0,top
C604,33.795,42.545,0.0,top
C605,33.795,27.94,0.0,top
C606,37.96,15.24,180.0,top
C607,28.575,39.865,270.0,top
C608,28.575,25.895,270.0,top
C609,45.085,11.29,270.0,top
C610,31.75,34.43,90.0,top
C611,48.4,45.085,180.0,top
C612,48.26,41.91,90.0,top
C613,33.795,17.145,0.0,top
C614,31.75,48.4,90.0,top
C615,33.795,14.605,180.0,top
C616,46.355,48.4,90.0,top
C701,62.865,48.4,90.0,top
C702,62.865,39.51,90.0,top
C703,54.42,33.02,0.0,top
C704,54.47,36.83,180.0,top
C705,64.91,34.925,0.0,top
C706,64.91,36.83,0.0,top
C707,56.96,48.26,180.0,top
D501,39.1668,3.175,0.0,top
D502,39.1668,6.985,0.0,top
D601,17.5,47.5,270.0,top
D602,17.5,42.5,270.0,top
D603,17.5,32.5,270.0,top
D604,17.5,27.5,270.0,top
D605,17.5,17.5,270.0,top
D606,17.5,12.5,270.0,top
F401,85.0,36.0,180.0,top
F501,88.9,20.32,90.0,top
FB501,64.135,4.445,315.0,top
FID401,10.0,5.0,0.0,top
FID402,90.0,55.0,0.0,top
FID403,90.0,5.0,0.0,top
ID401,82.5,5.0,0.0,top
J401,88.65,46.725,180.0,top
J402,95.472301,29.971999,90.0,top
J501,53.34,8.89,45.0,top
J502,96.325,15.0,90.0,top
J601,7.5,45.0,0.0,top
J602,7.5,30.0,0.0,top
J603,7.5,15.0,0.0,top
J701,59.685,57.15,90.0,top
JP401,82.499999,31.0,90.0,top
Q401,80.0,46.714501,180.0,top
R401,83.0,57.039501,90.0,top
R402,80.0,54.214501,180.0,top
R501,42.9768,3.175,0.0,top
R502,42.9768,6.985,0.0,top
R503,59.196698,10.143628,315.0,top
R504,61.127099,10.907303,315.0,top
R505,63.372163,8.662237,315.0,top
R506,61.441762,7.898562,315.0,top
R507,65.353363,19.633363,315.0,top
R508,72.338363,20.268363,45.0,top
R509,88.9,11.43,0.0,top
R510,88.9,8.255,0.0,top
R601,15.0,45.0,0.0,top
R602,15.0,30.0,0.0,top
R603,15.0,15.0,0.0,top
R604,24.13,45.72,270.0,top
R605,26.67,39.815,270.0,top
R606,26.67,25.845,270.0,top
R607,41.275,11.24,270.0,top
R608,30.48,39.815,90.0,top
R609,30.48,25.845,90.0,top
R610,43.18,11.24,90.0,top
R611,35.56,29.845,180.0,top
R612,33.02,30.48,90.0,top
R613,49.4284,15.875,270.0,top
R614,33.845,45.085,0.0,top
R615,57.275326,16.5862,315.0,top
R616,39.56,48.26,180.0,top
R617,47.625,15.875,90.0,top
R618,38.735,45.72,90.0,top
R619,58.9788,18.3388,45.0,top
R620,64.135,18.415,315.0,top
R621,50.165,41.91,270.0,top
R622,46.355,40.45,270.0,top
R623,29.02,20.955,0.0,top
R624,25.845,20.955,0.0,top
R701,51.245,34.925,0.0,top
R702,54.42,34.925,0.0,top
R703,59.69,31.75,0.0,top
R704,64.96,33.02,180.0,top
R705,60.135,50.165,0.0,top
R706,56.96,50.165,0.0,top
R707,59.69,40.64,0.0,top
R708,64.135,44.45,270.0,top
SW501,28.575,4.445,0.0,top
TP601,36.83,53.34,0.0,top
TP602,36.83,35.56,0.0,top
TP603,36.83,22.86,0.0,top
TP604,50.165,53.34,0.0,top
U401,80.0,25.0,0.0,top
U501,69.215,13.97,225.0,top
U502,85.0,15.0,0.0,top
U601,28.575,15.875,270.0,top
U602,43.18,15.875,270.0,top
U603,28.575,30.48,270.0,top
U604,28.575,44.45,270.0,top
U605,43.18,44.45,270.0,top
U701,59.69,35.56,270.0,top
U702,59.69,44.45,270.0,top
Y501,66.675001,26.67,180.0,top
